spine	title	claims	boundary
1	Core incidence and resonance structures	IC95-incidence-core-definition;IC96-ternary-resonance-system;IC14-resonance-category-laws	Definitions plus ordinary Lean typeclass assumptions; no classification claim.
2	Exact descent criterion	IC1-resonance-descent	Arbitrary incidence with DecidableEq carrier.
3	Uniqueness of the represented quotient relation	IC97-exact-descent-uniqueness	Exactness is required on all quotient representatives.
4	Universal factorization through the quotient	IC2-resonance-universal	The source homomorphism must be bisimulation invariant.
5	Natural-number coproduct obstruction	IC98-nat-sum-obstruction	Concrete negative model; not a claim about every coproduct.
6	Saturated simplex positive model	IC99-saturated-simplex-positive-model	Concrete saturated model with three behavioral classes.
7	Finite six-representative obstruction classification	IC3-finite-obstructions;IC4-simplex-obstruction	Finite carrier and decidable relations.
8	Coordinatewise local obstruction classification	IC5-coordinate-classification;IC6-local-finite-obstructions	Finite executable form additionally needs decidability.
9	Swap-orbit classification	IC7-obstruction-swap-free;IC8-obstruction-orbits	Orbit is for reversal of the bisimilar representative pair.
10	Functional structural obstruction generators	IC9-functional-output-necessity;IC10-functional-selector-necessity;IC11-simplex-structural-obstruction	Applies to graph-functional resonance with the stated selector hypotheses.
11	Support-minimal automorphism-orbit classification	IC28-minimal-obstruction-existence;IC29-sharp-simplex-obstruction;IC30-automorphism-invariance;IC31-automorphism-orbit-classification;IC32-executable-orbit-classification;IC33-simplex-automorphism-count;IC34-simplex-minimal-orbit-count;IC39-simplex-orbit-family-partition;IC40-simplex-orbit-family-counts;IC41-simplex-orbit-normal-forms;IC89-simplex-pair-transitivity;IC90-structural-pattern-inverse;IC91-coordinatewise-structural-normalization;IC92-all-minimal-structural-normalization;IC93-card-independent-orbit-surjectivity;IC94-nonenumerative-simplex-orbit-count	Existence and executable tables require finite decidable carriers; the 32-orbit result is specific to the simplex selector.
12	Relational transport-and-saturation criterion	IC12-relational-descent-classification;IC13-relational-descent-spec	Arbitrary incidence; transport and output saturation are both necessary.
13	Kernel-pair coequalizer representation	IC14-resonance-category-laws;IC15-kernel-pair-invariance;IC16-resonance-coequalizer	Coequalizer is in ternary resonance systems and preserving homomorphisms.
14	Mathlib categorical coequalizer interface	IC17-standard-category;IC18-standard-iscolimit;IC19-coequalizer-naturality	CategoryTheory Cofork and IsColimit formulation.
15	Non-saturated geometric simplex model	IC20-shape-mode-positive-model;IC21-shape-mode-nontriviality;IC22-shape-mode-representation;IC23-shape-mode-not-saturated	Concrete seven-cell simplex class-mode relation.
16	Generic class-mode representation	IC24-generic-class-mode-descent;IC25-generic-class-mode-representation;IC26-simplex-general-instance	Requires a surjective classifier with bisimulation kernel and selector compatibility.
17	Free algebraic incidence	IC35-free-incidence-universal;IC36-free-incidence-resonance	Target must have total glue for the stated fold.
18	Logical necessity of exact descent	IC37-logical-necessity-iff;IC38-atomic-counterobservation	Scoped propositional observation language generated by ternary resonance atoms.
19	Reference-foundation syntax integration	IC42-incproof-observation-translation;IC43-incproof-forget-compatibility;IC44-incproof-logical-necessity	Scoped translated IncProof syntax and agreeing physical interpretations.
20	Presented free incidence	IC45-presented-free-incidence;IC46-presented-incidence-fold;IC47-presented-incidence-universal	Generator boundaries must satisfy the stated irreflexivity condition.
21	Equational presentation and admissibility	IC48-equational-glue-congruence;IC49-equational-quotient-incidence;IC50-equational-resonance-exactness;IC51-equational-fold-universal;IC52-structured-incidence-fold;IC53-structured-equational-universal;IC54-boundary-descent-criterion;IC55-quotient-boundary-well-founded-criterion;IC56-presented-resonance-descent-criterion;IC57-equational-quotient-admissibility	Quotient construction requires exactly the bundled boundary, irreflexivity, and resonance admissibility conditions.
22	Abstract congruence reflection	IC58-abstract-congruence-quotient;IC59-congruence-reflection-factor;IC60-congruence-reflection-universal;IC61-incidence-reflection-instance	Objectwise reflection for setoid-congruenced ternary systems.
23	Functorial graded-family representation	IC62-graded-incidence-family;IC63-graded-quotient-representation;IC64-graded-map-functoriality;IC65-simplex-graded-family-instance	Requires behaviorally complete grading and class-mode hypotheses.
24	Congruence quotient adjunction	IC66-congruenced-resonance-category;IC67-congruence-quotient-functor;IC68-equality-congruence-embedding;IC69-congruence-quotient-adjunction	Adjunction is between congruenced ternary resonance systems and equality-congruenced systems.
25	Infinite simplicial path instance	IC70-path-graded-family-instance	Specific infinite path with node and edge grades; no finite enumeration.
